simplified_name,unit_name,gram_weight,n_samples
"Albertsons Granulated Sugar, Granulated White",cup,188.0,1
"Albertsons Granulated Sugar, Granulated White",teaspoon,4.0,1
"Alexia, Onion Rings, Frozen",piece,16.2,10
Almonds,cup,135.5,24
"American Cheese, Pasteurized Process",slice,20.8,22
"American Cheese, Pasteurized Process-O-Lakes",slice,21.7,1
"Americas Choice, Bread, 100% Whole Wheat",slice,44.8,1
Applebees - American Cheese,slice,20.4,11
Applebees - Bacon,slice,7.2,6
Bananas,Banana,111.0,912
"Bananas, Overripe, Raw",Banana,110.0,2
"Bananas, Ripe And Slightly Ripe, Raw",Banana,115.0,2
"Bay View Farms, Bread, 100% Whole Wheat",slice,40.0,1
Beans,cup,128.5,24
"Beans, Snap, Green, Canned, Regular Pack, Drained Solids",cup,129.0,1
Beef Breakfast Sausage,piece,148.0,1
"Beef, Eye Of Round Steak, Raw",steak,146.5,12
"Beef, Loin, Top Loin Steak, Boneless, Lip-On, Separable Lean Only, Trimmed To 1/8"" Fat, Choice, Raw",steak,284.0,2
"Beef, Porterhouse Steak, Raw",steak,531.0,12
"Beef, Short Loin, Porterhouse Steak, Separable Lean Only, Trimmed To 1/8"" Fat, Select, Raw",steak,525.0,2
"Beef, Short Loin, T-Bone Steak, Bone-In, Separable Lean Only, Trimmed To 1/8"" Fat, Choice, Cooked, Grilled",steak,360.0,2
"Beef, T-Bone Steak, Cooked",steak,362.5,24
"Beef, Top Loin Steak, Boneless, 0"" Fat Trim, Raw",steak,266.5,24
"Beef, Top Loin Steak, Boneless, 1/8"" Fat Trim, Raw",steak,314.0,24
"Beef, Top Round Steak, Raw",steak,329.5,12
"Best Choice Sugar, Granulated White",cup,184.0,1
"Best Choice Sugar, Granulated White",teaspoon,3.9,1
"Braised, Chicken, Thigh, Enhanced",thigh,132.5,20
"Braised, Chicken, Thigh, Non-Enhanced",thigh,120.0,90
"Bread, White, Commercially Prepared",slice,27.3,1
"Bread, Whole-Wheat, Commercially Prepared",slice,32.1,1
"Broccoli, Ar1",cup,76.0,1
"Broccoli, Ar1",stalk,233.0,1
"Broccoli, Pa2",cup,114.0,1
"Broccoli, Pa2",stalk,242.0,1
"Broccoli, Raw",cup,76.0,2
Burger King,slice,10.6,12
Burger King - Bacon,slice,4.4,6
Burger King - Ham,slice,14.6,6
C&H Granulated White Sugar,teaspoon,3.9,1
"C&H, Sugar, Granulated White",cup,192.0,1
"C&H, Sugar, Granulated White",teaspoon,4.4,1
"C&H, Sugar, Granulated, White",cup,176.0,3
"C&H, Sugar, Granulated, White",teaspoon,3.8,3
"Cantaloupe, Raw, Tn2",cup,158.0,2
"Cantaloupe, Raw, Tn2",each,552.0,3
"Cantaloupe, Raw, Tn2",pieces,13.8,1
"Cheddar Cheese, Sliced",cup,132.0,1
"Cheddar Cheese, Sliced",slice,18.8,17
"Cheddar Cheese, Sliced, Store Brand",slice,18.8,12
"Cheddar Cheese, Sliced, Storebrand",slice,17.6,2
Cheese,cup,325.5,21
"Cheese, American, Restaurant",slice,16.0,1
"Cheese, Cheddar",cup,105.0,1
"Cheese, Cheddar",slice,17.0,1
"Cheese, Cheddar, Mild, Block/Chunk, Store Brand",cup,244.0,1
"Cheese, Cheddar, Natural Shredded Mild",cup,99.3,7
"Cheese, Cheddar, Natural Shredded Mild, Store Brand",cup,98.5,12
"Cheese, Cheddar, Natural Shredded Sharp",cup,102.5,10
"Cheese, Cheddar, Natural Shredded Sharp, Store Brand",cup,111.0,12
"Cheese, Cottage, Lowfat, 2% Milkfat",cup,220.0,1
"Cheese, Dry White, Queso Seco",cup,97.3,2
"Cheese, Mozzarella, Low Moisture, Part-Skim",cup,86.2,1
"Cheese, Parmesan, Grated",tablespoon,7.6,1
"Cheese, Pasteurized Process, American, Vitamin D Fortified",slice,20.6,1
"Cheese, Ricotta, Whole Milk",cup,258.0,6
"Cheese, Swiss",slice,16.4,4
Cheese-O,cup,312.0,2
Chick Fil A - American Cheese,slice,14.2,6
Chick-Fil-A - American Cheese,slice,13.7,5
"Chicken Breast, Non-Enhanced, Braised- 17A-12Su-Cb",piece,130.0,1
"Chicken Breast, Non-Enhanced, Braised- 17A-13Su-Cb",piece,129.0,1
"Chicken Breast, Non-Enhanced, Braised- 17A-14Su-Cb",piece,163.0,1
"Chicken Breast, Non-Enhanced, Braised- 17A-15Su-Cb",piece,146.0,1
"Chicken Breast, Non-Enhanced, Braised- 17A-16Su-Cb",piece,223.0,1
"Chicken Breast, Non-Enhanced, Braised- 17A-17Su-Cb",piece,175.0,1
"Chicken Breast, Non-Enhanced, Braised- 17A-18Su-Cb",piece,321.0,1
"Chicken Breast, Non-Enhanced, Braised- 17A-20Su-Cb",piece,173.0,1
"Chicken Breast, Non-Enhanced, Braised- 17A-21Su-Cb",piece,212.0,1
"Chicken Breast, Non-Enhanced, Braised- 17A-22Su-Cb",piece,128.0,1
"Chicken Breast, Non-Enhanced, Braised- 17A-23Su-Cb",piece,195.0,1
"Chicken, Broiler Or Fryers, Breast, Skinless, Boneless, Meat Only, Cooked, Braised",piece,174.0,1
"Chinese Restaurant, Fried Rice",cup,136.0,11
Chorizo Pork Sausage,cup,186.5,6
"Cottage Cheese, 2% Milkfat",cup,220.0,19
"Cottage Cheese, 2% Milkfat, Store Brand/Other Brand",cup,223.5,12
Dennys - American Cheese,slice,21.6,12
Dennys - Bacon,slice,4.0,6
"Dixie Crystals, Sugar, Granulated, White",cup,194.0,1
"Dixie Crystals, Sugar, Granulated, White",teaspoon,4.4,1
"Domino Sugar - Premium Pure Cane, Granulated White",cup,196.0,3
"Domino Sugar - Premium Pure Cane, Granulated White",teaspoon,4.1,6
Dried Egg Yolk,cup,67.0,1
Dried Egg Yolk,oz,28.4,1
Dried Egg Yolk,tablespoon,4.0,1
Dried Stabilized Egg White,cup,107.0,2
Dried Stabilized Egg White,oz,28.4,1
Dried Stabilized Egg White,tablespoon,7.0,2
Dried Whole Egg,cup,85.0,1
Dried Whole Egg,oz,28.4,1
Dried Whole Egg,tablespoon,5.0,1
"Dry White Cheese, Queso Seco",cup,97.8,12
Dunkin Donuts - Ham,slice,11.8,6
"Egg, White, Dried",cup,107.0,1
"Egg, White, Dried",tablespoon,7.0,1
"Egg, White, Raw, Frozen, Pasteurized",oz,28.4,1
"Egg, Whole, Dried",cup,85.0,1
"Egg, Whole, Dried",oz,28.4,1
"Egg, Whole, Dried",tablespoon,5.0,1
"Egg, Whole, Raw, Frozen, Pasteurized",oz,28.4,1
"Egg, Yolk, Dried",cup,67.0,1
"Egg, Yolk, Dried",oz,28.4,1
"Egg, Yolk, Dried",tablespoon,4.0,1
"Egg, Yolk, Raw, Frozen, Pasteurized",oz,28.4,1
Eggs,egg,46.6,6126
"Eggs, Grade A, Large, Egg White",egg,34.0,1
"Eggs, Grade A, Large, Egg Whole",egg,50.3,1
"Eggs, Grade A, Large, Egg Yolk",egg,17.0,1
"Figs, Dried, Uncooked",cup,149.0,2
"Figs, Dried, Uncooked",each,8.4,2
"Fish, Haddock, Raw",fillet,176.0,1
"Fish, Pollock, Raw",fillet,177.0,1
"Frankfurter, Beef, Unheated",piece,48.6,1
Grapefruit Juice,cup,261.0,17
"Grapefruit Juice, White, Canned Or Bottled, Unsweetened",cup,257.0,1
"Great Value, Bread, 100% Whole Wheat",slice,29.0,2
"Haddock, Raw",fillet,354.5,2
"Haddock, Raw, Iceland, Kroger Haddock Fillets",fillet,102.0,1
"Haddock, Raw, Imported From China, Kroger Haddock Fillets",fillet,89.0,2
"Haddock, Raw, Wild Caught - Norway, Publix Fresh Frozen Haddock Loins",fillet,147.0,1
"Haddock, Raw, Wild Caught In Canada",fillet,122.0,1
"Haddock, Raw, Wild Caught In Norway, Publix Fresh Frozen Haddock Loins",fillet,152.0,1
Ham,slice,13.4,21
"Ham, Sliced, Pre-Packaged, Deli Meat",slice,13.5,1
"Ham, Sliced, Restaurant",slice,16.2,1
"Healthy Ideas, Bread, 100% Whole Wheat",slice,26.5,1
Hot Dogs,piece,47.6,32
Hummus,tablespoon,17.0,21
"Hummus, Commercial",tablespoon,17.0,1
"Hyvee, Bread, 100% Whole Wheat",slice,27.3,1
Ihop - American Cheese,slice,14.8,6
Ihop - Bacon,slice,8.2,12
Ihop - Sliced Processed American Cheese,slice,13.6,5
Kale,cup,89.6,19
"Kale, Frozen, Cooked, Boiled, Drained, Without Salt",cup,118.0,1
"Kale, Raw",cup,20.6,1
"Kroger Sugar, Granulated White",cup,186.5,2
"Kroger Sugar, Granulated White",teaspoon,3.8,2
"Kroger Sweet, Onion Rings, Frozen",piece,23.5,1
"Kroger, Bread, 100% Whole Wheat",slice,32.2,1
"Kroger, Onion Rings, Frozen",piece,12.6,2
Liquid Egg White,cup,243.0,1
Liquid Egg White,oz,28.4,1
Liquid Egg Yolk,cup,243.0,1
Liquid Egg Yolk,oz,28.4,1
Liquid Whole Egg,cup,243.0,1
Liquid Whole Egg,oz,28.4,1
Mcdonalds - American Cheese,slice,14.3,6
Mcdonalds - Bacon,slice,6.1,6
Mcdonalds - Processed American Cheese,slice,13.7,6
"Melons, Cantaloupe, Raw",cup,158.0,4
"Melons, Cantaloupe, Raw",each,552.0,6
"Melons, Cantaloupe, Raw",pieces,13.8,2
Milk,cup,229.0,49
Milk,tablespoon,15.0,1
"Milk, 1%",cup,231.5,24
"Milk, 2%",cup,228.0,24
"Milk, Lowfat, Fluid, 1% Milkfat, With Added Vitamin A And Vitamin D",cup,239.5,2
"Milk, Nonfat, Fluid, With Added Vitamin A And Vitamin D",cup,237.5,2
"Milk, Reduced Fat, Fluid, 2% Milkfat, With Added Vitamin A And Vitamin D",cup,236.0,2
"Milk, Whole, 3.25% Milkfat, With Added Vitamin D",cup,239.0,2
"Milk, Whole, 3.25% Milkfat, With Added Vitamin D",tablespoon,15.0,1
"Mission Figs, Dried, Tn2",cup,149.0,1
"Mission Figs, Dried, Tn2",each,8.4,1
"Mozzarella, Low-Moisture, Part-Skim",cup,90.5,19
"Mozzarella, Low-Moisture, Part-Skim, Store Brand",cup,80.8,11
"Mozzarella, Low-Moisture, Part-Skim, Store Brand/Other Brand",cup,80.6,2
"Mustard, Prepared, Yellow",cup,249.0,1
"Mustard, Prepared, Yellow",teaspoon,6.0,1
"Natures Own, Bread, 100% Whole Wheat",slice,28.3,6
"Nectarines, Raw",cup,143.0,1
"Nectarines, Raw",each,142.0,3
"Nectarines, Walmart, Ar1",cup,143.0,1
"Nectarines, Walmart, Ar1",each,142.0,3
"Nuts, Almonds, Dry Roasted, With Salt Added",cup,135.0,1
"Oil, Coconut",tablespoon,11.7,11
"Onion Rings, Breaded, Par Fried, Frozen, Prepared, Heated In Oven",piece,20.2,1
Onions,Onion,174.5,148
"Onions, Red, Raw",Onion,197.0,1
"Onions, Yellow, Raw",Onion,143.0,1
"Oranges, Navel, Pricecutter , Mo2",cup,165.0,1
"Oranges, Navel, Pricecutter , Mo2",each,140.0,1
"Oranges, Raw, Navels",cup,165.0,2
"Oranges, Raw, Navels",each,140.0,2
"Ore-Ida, Onion Rings, Frozen",piece,24.2,8
Panera - American Cheese,slice,21.5,4
Panera - Bacon,slice,4.6,3
Panera - Ham,slice,26.0,6
"Parmesan Cheese, Grated, Kraft 100%",cup,100.0,1
"Parmesan Cheese, Grated, Kraft 100%",tablespoon,7.4,12
"Parmesan Cheese, Grated, Store Brand/Other Brand",tablespoon,7.7,7
"Parmesan Cheese, Grated, Store Brand/Other Brand, Flora Fine Foods 100% Pure",tablespoon,8.3,1
"Parmesan Cheese, Grated, Store Brand/Other Brand, Hyvee 100%",tablespoon,7.7,1
"Parmesan Cheese, Grated, Store Brand/Other Brand, My Essentials 100%",tablespoon,7.4,1
"Parmesan Cheese, Grated, Store Brand/Other Brand, Sunnyside Farms 100%",tablespoon,8.0,1
"Peaches, Raw, Ar1",cup,154.0,1
"Peaches, Raw, Ar1",fruit,167.0,4
"Peaches, Yellow, Raw",cup,154.0,1
"Peaches, Yellow, Raw",fruit,167.0,4
"Peanut Butter, Creamy",cup,258.0,2
"Peanut Butter, Creamy",tablespoon,16.0,2
"Peanut Butter, Smooth Style, With Salt",cup,258.0,1
"Peanut Butter, Smooth Style, With Salt",tablespoon,16.0,1
"Pears, Barlett, Or/Wa3",cup,150.5,2
"Pears, Barlett, Or/Wa3",each,178.0,3
"Pears, Bartlett, Shopritesupermarket , Ny/Nj1",cup,140.0,1
"Pears, Bartlett, Shopritesupermarket , Ny/Nj1",each,177.0,3
"Pears, Raw, Bartlett",cup,140.0,2
"Pears, Raw, Bartlett",each,178.0,6
"Pepperidge Farm, Bread, 100% Whole Wheat",slice,44.6,2
"Pollock, Raw Alaska Pollock",fillet,175.0,1
"Pollock, Raw Alaskan Pollock",fillet,334.0,1
"Pollock, Raw Alaskan Scrod Fillet",fillet,194.0,1
"Pollock, Raw Alaskan; Wild Caught, Wholey Alaskan Pollock Fillets",fillet,154.0,1
"Pollock, Raw Product Of China Wild Caught, Aqua Star Alaska Pollock Fillets",fillet,79.6,1
"Pollock, Raw Wild Caught Product Of China, Great American Seafood Pacific Pollock Fillets",fillet,153.0,1
"Pollock, Raw Wild Caught Product Of China, Matlaws Alaska Pollock Fillets",fillet,128.0,1
"Pollock, Raw Wold Caught And Processed In China",fillet,200.0,1
"Pork, Cured, Bacon, Cooked, Restaurant",slice,6.3,1
"Prepared Yellow Mustard, Frenchs Classic Yellow Mustard",cup,249.0,12
"Prepared Yellow Mustard, Frenchs Classic Yellow Mustard",teaspoon,5.5,12
"Prepared Yellow Mustard, Other Brand",cup,245.5,10
"Prepared Yellow Mustard, Other Brand",teaspoon,6.3,10
"Prepared Yellow Mustard, Store Brand",cup,253.0,12
"Prepared Yellow Mustard, Store Brand",teaspoon,6.4,12
"Publix, Bread, 100% Whole Wheat",slice,23.8,1
"Pupusas, Beans, Restaurant Item, Caballo Viejo Restaurante, Miami",piece,123.0,1
"Pupusas, Beans, Restaurant Item, Costa Del Sol Restaurant, Austin",piece,148.0,1
"Pupusas, Beans, Restaurant Item, Custcatleco, Chicago",piece,108.0,1
"Pupusas, Beans, Restaurant Item, El Curtido, Hacienda Heights",piece,129.0,1
"Pupusas, Beans, Restaurant Item, Esmeralda'S Café, Las Vegas",piece,143.0,1
"Pupusas, Beans, Restaurant Item, Gladys Pupuseria, Ontario",piece,149.0,1
"Pupusas, Beans, Restaurant Item, La Fonda, Deming",piece,98.1,1
"Pupusas, Beans, Restaurant Item, La Original, Oakland",piece,155.0,1
"Pupusas, Beans, Restaurant Item, Resaurante Los Chorros, Wheaton",piece,107.0,1
"Pupusas, Beans, Restaurant Item, Tony'S Restaurant And Cantina, Houston",piece,97.6,1
"Raw, Chicken, Thigh, Enhanced",thigh,160.0,20
"Raw, Chicken, Thigh, Non-Enhanced",thigh,167.0,90
"Restaurant, Chinese, Fried Rice, Without Meat",cup,133.0,1
"Restaurant, Chinese, Sweet And Sour Pork",pieces,13.9,2
"Restaurant, Latino, Pupusas Con Frijoles",piece,126.0,1
"Restaurant, Latino, Tamale, Pork",piece,142.0,1
"Roasted, Chicken, Thigh, Enhanced",thigh,110.5,20
"Roasted, Chicken, Thigh, Non-Enhanced",thigh,121.5,90
"Safeway Fine Granulated Sugar, Granulated White",cup,186.0,2
"Safeway Fine Granulated Sugar, Granulated White",teaspoon,3.7,3
"Safeway, Bread, 100% Whole Wheat",slice,29.0,2
Salsa,tablespoon,17.9,24
Salsa- Medium,cup,259.0,1
Salsa- Medium,tablespoon,18.0,1
Salt,teaspoon,6.0,24
"Salt, Table, Iodized",teaspoon,6.1,2
"Sauce, Pasta, Hunts Original, Canned Spaghetti Sauce, 26.5 Oz Container",cup,279.0,12
"Sauce, Pasta, Prego 100% Natural Italian, Traditional, Bottled Spaghetti Sauce, 24 Oz Container",cup,268.0,12
"Sauce, Pasta, Ragu Old World, Bottled Spaghetti Sauce, 26 Oz Container",cup,268.0,12
"Sauce, Salsa, Ready-To-Serve",tablespoon,17.8,2
"Sausage, Pork, Chorizo, Link Or Ground, Cooked, Pan-Fried",cup,185.0,2
"Seeds, Sunflower Seed Kernels, Dry Roasted, With Salt Added",cup,127.0,1
"Stroehmann Dutch County, Bread, 100% Whole Wheat",slice,39.8,1
Subway - American Cheese,slice,5.7,5
Subway - Bacon,slice,5.6,6
Subway - Ham,slice,11.3,5
"Sugars, Granulated",cup,188.0,2
"Sugars, Granulated",teaspoon,4.0,2
Sunflower Seeds,cup,126.0,11
"Sweet And Sour Pork , China Garden, Va, Package Wgt. 454.5",pieces,17.3,1
"Sweet And Sour Pork , Double Dragon, Va, Package Wgt. 322.7",pieces,12.8,1
"Sweet And Sour Pork , Dragon Palace, Wv, Package Wgt. 432.3",pieces,8.7,1
"Sweet And Sour Pork , Great Wall Chinese Rest, In, Package Wgt. 490.3",pieces,9.1,1
"Sweet And Sour Pork , Great Wall Chinese, Mi, Package Wgt. 394.8",pieces,14.0,1
"Sweet And Sour Pork , Hong Kong Chinese, Ct, Package Wgt. 289.9",pieces,9.4,1
"Sweet And Sour Pork , Keilly Chinese Restaurant, Ny, Package Wgt. 370",pieces,8.4,1
"Sweet And Sour Pork , Palace Chinese Rest, Co, Package Wgt. 552.1",pieces,13.2,1
"Sweet And Sour Pork , Wing Wong Bbq, Fl, Package Wgt. 599.5",pieces,19.4,1
"Sweet And Sour Pork , Yun Yum Chinese Rest, Nc, Package Wgt. 486",pieces,21.3,1
"Sweet And Sour Pork, Chin Dynasty, Ca, Package Wgt. 615.8",pieces,18.3,1
"Sweet And Sour Pork, First Hunan Chef Wong, Ca, Package Wgt. 758.9",pieces,14.4,1
"Sweet And Sour Pork, Hunan House, Va, Package Wgt. 237",pieces,15.1,1
Swiss Cheese Slices,slice,18.8,18
"Swiss Cheese Slices, Lucerne 18C-Ca2-Swc-38",slice,22.6,1
"Swiss Cheese Slices, Sargento 18C-Ca1-Swc-17",slice,10.9,1
"Swiss Cheese Slices, Sargento 18C-Ca2-Swc-39",slice,10.8,1
"Swiss Cheese Slices, Store Brand 18C-Ca1-Swc-181",slice,29.1,1
"Tamale, Pork, Restaurant Item, Amigos, Deming",piece,93.9,1
"Tamale, Pork, Restaurant Item, Costa Del Sol Restaurant, Austin",piece,315.0,1
"Tamale, Pork, Restaurant Item, El Ausente, Las Vegas",piece,96.1,1
"Tamale, Pork, Restaurant Item, El Curtido, Hacienda Heights",piece,189.0,1
"Tamale, Pork, Restaurant Item, Maria'S, Chicago",piece,54.7,1
